"X","seuil","delta_1","n_switchers"
NA,0.017900907183066,-1.05868219439516,3960
NA,0.00748925551772118,2.86289066075713,6558
NA,0.0133023038925603,-0.403036014687524,4900
NA,0.00189681321848184,-2.39968885832975,9220
NA,0.00767939275596291,3.16821478728408,6498
NA,0.00548767289146781,3.74539924011302,7343
NA,0.0162928007775918,-0.527297439710226,4261
NA,0.00897032682783902,0.718961097666544,6057
NA,0.016201287060976,-0.47881715449156,4279
NA,0.0162477901903912,-0.52397597736239,4268
NA,0.0158868464222178,-0.343351738900579,4335
NA,0.00879663375206292,0.897437255210758,6109
NA,0.015089503172785,-0.115979154850625,4494
NA,0.0125844226311892,0.417182823514141,5044
NA,0.0142036480270326,0.263060218588558,4700
NA,1.24954665079713e-05,103.121210726066,11448
NA,0.00950633148197085,1.72588000202668,5901
NA,0.0044023777032271,2.77216441630722,7823
NA,0.0075963307544589,2.74765054391344,6529
NA,0.0122554200654849,0.265092803341836,5120
NA,0.00703595818486065,2.97071990554938,6722
NA,0.00222270848695189,-2.25382402576745,9002
NA,0.00487238945439458,2.5417694261708,7590
NA,0.0133611117489636,0.336306746176495,4878
NA,0.00835293559357524,0.619645047674066,6245
NA,0.0157639166805893,-0.360652508468783,4365
NA,0.00205729288514704,-3.32358582679631,9112
NA,0.00869785482995212,0.77365660487892,6132
NA,0.0196991395996884,-1.05124543821558,3667
NA,0.0178610222879797,-1.09016908043417,3963
NA,0.0177293812157586,-1.142300610135,3987
NA,0.00350105300545692,0.38095270440673,8279
NA,0.00261391383130103,-1.96209818913559,8747
NA,0.0130620385007933,-0.170297741805194,4952
NA,0.00687032944522798,3.03042765389682,6783
NA,0.0131351625593379,-0.172058809556806,4936
NA,0.00640746484976262,3.78995605384767,6980
NA,0.00375382238533348,0.975363199390051,8158
NA,0.0156458860263228,-0.363353383923391,4388
NA,0.0018718997342512,-2.12693675172071,9249
NA,0.0093355808313936,1.60547731537734,5948
NA,0.0102301091980189,1.31718013799117,5672
NA,0.0119997791852802,0.130180295341347,5174
NA,0.00665647080633789,3.72891726540413,6870
NA,0.00977226067334414,1.75649782348697,5809
NA,0.0190894765499979,-0.761452206128982,3771
NA,0.00965804794337601,1.77743737969173,5833
NA,0.0178070044424385,-1.0776163458802,3973
NA,0.0182887637382373,-0.988361355889463,3890
NA,0.0121746996464208,0.322415484868709,5140
NA,0.00821379553060979,0.535304608820253,6292
NA,0.00294189381878823,-0.911256914959208,8559
NA,0.0187059960654005,-0.38289426752042,3824
NA,0.00602457799948752,3.79594882277659,7127
NA,0.00121441143099219,-4.66945977447059,9787
NA,0.0189545388007537,-0.737405390589739,3799
NA,0.0144119254685938,-0.0217272347897941,4646
NA,0.00284588591195643,-1.03283393049965,8607
NA,0.0109856931213289,1.03045785482091,5454
NA,0.0190818247711286,-0.749569567373551,3772
NA,0.0117096670623869,0.00346190658926926,5250
NA,0.00809020563494414,0.447854034069622,6339
NA,0.0129578695865348,0.0908874620097654,4977
NA,0.00639641234185547,3.78682315378763,6983
NA,0.00615440021734685,4.22438123105987,7076
NA,0.00439535262528807,2.74090610022166,7827
NA,0.00738977731671184,2.91026430949778,6594
NA,0.0196843840694055,-1.05886081133285,3668
NA,0.00308404601644725,-0.752455768471052,8476
NA,0.00182087999768555,-2.13640778160074,9288
NA,0.00283813815563917,-1.02187895590431,8610
NA,0.0138001420302317,0.363189497288111,4794
NA,0.0123851296678185,0.25576331951839,5092
NA,0.0178278823429719,-1.09074908293257,3968
NA,0.0134599818522111,0.362422996702763,4850
NA,0.0147415547585115,-0.0811914508047286,4568
